"ID"	"Tissue"	"Histology"	"State"
"TCGA.85.8582.01A.21R.2403.07"	"TCGA.85.8582.01A.21R.2403.07"	"Tumor"	"LUSC"	"S01"
"TCGA.CH.5750.01A.11R.1580.07"	"TCGA.CH.5750.01A.11R.1580.07"	"Tumor"	"PRAD"	"S01"
"TCGA.A2.A0ST.01A.12R.A084.07"	"TCGA.A2.A0ST.01A.12R.A084.07"	"Tumor"	"BRCA"	"S01"
"TCGA.BJ.A28Z.01A.11R.A16R.07"	"TCGA.BJ.A28Z.01A.11R.A16R.07"	"Tumor"	"THCA"	"S01"
"TCGA.FD.A43P.01A.31R.A23W.07"	"TCGA.FD.A43P.01A.31R.A23W.07"	"Tumor"	"BLCA"	"S01"
"TCGA.22.4596.01A.01R.1201.07"	"TCGA.22.4596.01A.01R.1201.07"	"Tumor"	"LUSC"	"S01"
"TCGA.H2.A2K9.11A.11R.A180.07"	"TCGA.H2.A2K9.11A.11R.A180.07"	"Normal"	"THCA"	"S01"
"TCGA.85.8276.01A.11R.2296.07"	"TCGA.85.8276.01A.11R.2296.07"	"Tumor"	"LUSC"	"S01"
"TCGA.AZ.4323.01A.21R.1839.07"	"TCGA.AZ.4323.01A.21R.1839.07"	"Tumor"	"COAD"	"S01"
"TCGA.55.7728.01A.11R.2187.07"	"TCGA.55.7728.01A.11R.2187.07"	"Tumor"	"LUAD"	"S01"
"TCGA.ZJ.AB0H.01A.11R.A42T.07"	"TCGA.ZJ.AB0H.01A.11R.A42T.07"	"Tumor"	"CESC"	"S01"
"TCGA.55.8513.01A.11R.2403.07"	"TCGA.55.8513.01A.11R.2403.07"	"Tumor"	"LUAD"	"S01"
"TCGA.XX.A899.01A.11R.A36F.07"	"TCGA.XX.A899.01A.11R.A36F.07"	"Tumor"	"BRCA"	"S01"
"TCGA.56.8625.01A.11R.2403.07"	"TCGA.56.8625.01A.11R.2403.07"	"Tumor"	"LUSC"	"S01"
"TCGA.4L.AA1F.01A.11R.A41O.07"	"TCGA.4L.AA1F.01A.11R.A41O.07"	"Tumor"	"PRAD"	"S01"
"TCGA.EJ.AB27.01A.11R.A41O.07"	"TCGA.EJ.AB27.01A.11R.A41O.07"	"Tumor"	"PRAD"	"S01"
"TCGA.BH.A1FE.01A.11R.A13Q.07"	"TCGA.BH.A1FE.01A.11R.A13Q.07"	"Tumor"	"BRCA"	"S01"
"TCGA.EL.A3T1.11A.11R.A22L.07"	"TCGA.EL.A3T1.11A.11R.A22L.07"	"Normal"	"THCA"	"S01"
"TCGA.VQ.A8PC.01A.11R.A39E.31"	"TCGA.VQ.A8PC.01A.11R.A39E.31"	"Tumor"	"STAD"	"S01"
"TCGA.BR.6706.01A.11R.1884.13"	"TCGA.BR.6706.01A.11R.1884.13"	"Tumor"	"STAD"	"S01"
"TCGA.AZ.6600.01A.11R.1774.07"	"TCGA.AZ.6600.01A.11R.1774.07"	"Tumor"	"COAD"	"S01"
"TCGA.21.1076.01A.02R.0692.07"	"TCGA.21.1076.01A.02R.0692.07"	"Tumor"	"LUSC"	"S01"
"TCGA.E9.A248.01A.11R.A169.07"	"TCGA.E9.A248.01A.11R.A169.07"	"Tumor"	"BRCA"	"S01"
"TCGA.BH.A0DK.01A.21R.A056.07"	"TCGA.BH.A0DK.01A.21R.A056.07"	"Tumor"	"BRCA"	"S01"
"TCGA.CN.6017.01A.11R.1686.07"	"TCGA.CN.6017.01A.11R.1686.07"	"Tumor"	"HNSC"	"S01"
"TCGA.86.8671.01A.11R.2403.07"	"TCGA.86.8671.01A.11R.2403.07"	"Tumor"	"LUAD"	"S01"
"TCGA.B5.A5OC.01A.21R.A27V.07"	"TCGA.B5.A5OC.01A.21R.A27V.07"	"Tumor"	"UCEC"	"S01"
"TCGA.IB.AAUR.01A.21R.A38C.07"	"TCGA.IB.AAUR.01A.21R.A38C.07"	"Tumor"	"PAAD"	"S01"
"TCGA.DJ.A2Q3.01A.11R.A18C.07"	"TCGA.DJ.A2Q3.01A.11R.A18C.07"	"Tumor"	"THCA"	"S01"
"TCGA.A2.A3XZ.01A.42R.A239.07"	"TCGA.A2.A3XZ.01A.42R.A239.07"	"Tumor"	"BRCA"	"S01"
"TCGA.44.A479.01A.31R.A24H.07"	"TCGA.44.A479.01A.31R.A24H.07"	"Tumor"	"LUAD"	"S01"
"TCGA.AA.3517.11A.01R.A32Z.07"	"TCGA.AA.3517.11A.01R.A32Z.07"	"Normal"	"COAD"	"S01"
"TCGA.A6.2679.11A.01R.A32Z.07"	"TCGA.A6.2679.11A.01R.A32Z.07"	"Normal"	"COAD"	"S01"
"TCGA.99.8032.01A.11R.2241.07"	"TCGA.99.8032.01A.11R.2241.07"	"Tumor"	"LUAD"	"S01"
"TCGA.ZJ.AAXU.01A.11R.A42T.07"	"TCGA.ZJ.AAXU.01A.11R.A42T.07"	"Tumor"	"CESC"	"S01"
"TCGA.SY.A9G0.01A.12R.A38B.07"	"TCGA.SY.A9G0.01A.12R.A38B.07"	"Tumor"	"BLCA"	"S01"
"TCGA.69.7978.01A.11R.2187.07"	"TCGA.69.7978.01A.11R.2187.07"	"Tumor"	"LUAD"	"S01"
"TCGA.H7.A76A.01A.51R.A34R.07"	"TCGA.H7.A76A.01A.51R.A34R.07"	"Tumor"	"HNSC"	"S01"
"TCGA.XF.A9SI.01A.11R.A39I.07"	"TCGA.XF.A9SI.01A.11R.A39I.07"	"Tumor"	"BLCA"	"S01"
"TCGA.A2.A0CL.01A.11R.A115.07"	"TCGA.A2.A0CL.01A.11R.A115.07"	"Tumor"	"BRCA"	"S01"
"TCGA.KP.A3W0.01A.21R.A22K.07"	"TCGA.KP.A3W0.01A.21R.A22K.07"	"Tumor"	"UCEC"	"S01"
"TCGA.98.A53C.01A.11R.A262.07"	"TCGA.98.A53C.01A.11R.A262.07"	"Tumor"	"LUSC"	"S01"
"TCGA.MZ.A6I9.01A.11R.A31N.07"	"TCGA.MZ.A6I9.01A.11R.A31N.07"	"Tumor"	"HNSC"	"S01"
"TCGA.73.4662.01A.01R.1206.07"	"TCGA.73.4662.01A.01R.1206.07"	"Tumor"	"LUAD"	"S01"
"TCGA.86.8280.01A.11R.2287.07"	"TCGA.86.8280.01A.11R.2287.07"	"Tumor"	"LUAD"	"S01"
"TCGA.EL.A3ZS.11A.11R.A23N.07"	"TCGA.EL.A3ZS.11A.11R.A23N.07"	"Normal"	"THCA"	"S01"
"TCGA.55.8619.01A.11R.2403.07"	"TCGA.55.8619.01A.11R.2403.07"	"Tumor"	"LUAD"	"S01"
"TCGA.YL.A8SQ.01B.11R.A37L.07"	"TCGA.YL.A8SQ.01B.11R.A37L.07"	"Tumor"	"PRAD"	"S01"
"TCGA.BR.7715.11A.01R.2055.13"	"TCGA.BR.7715.11A.01R.2055.13"	"Normal"	"STAD"	"S01"
"TCGA.A2.A25F.01A.11R.A169.07"	"TCGA.A2.A25F.01A.11R.A169.07"	"Tumor"	"BRCA"	"S01"
"TCGA.FP.8209.01A.11R.2343.13"	"TCGA.FP.8209.01A.11R.2343.13"	"Tumor"	"STAD"	"S01"
"TCGA.GC.A6I3.11A.11R.A31N.07"	"TCGA.GC.A6I3.11A.11R.A31N.07"	"Normal"	"BLCA"	"S01"
"TCGA.A2.A0YK.01A.22R.A109.07"	"TCGA.A2.A0YK.01A.22R.A109.07"	"Tumor"	"BRCA"	"S01"
"TCGA.DE.A4MD.06A.11R.A250.07"	"TCGA.DE.A4MD.06A.11R.A250.07"	"Tumor"	"THCA"	"S01"
