"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"125"	"TCGA.85.7843.01A.11R.2125.07"	"CE2"	0.117714494168666	0.14285739583576	TRUE	"CE2"
"136"	"TCGA.56.5898.01A.11R.1635.07"	"CE2"	0.193092684753253	0.219003472847803	TRUE	"CE2"
"140"	"TCGA.43.A56V.01A.11R.A26W.07"	"CE2"	0.167507989576505	0.194776732065704	TRUE	"CE2"
"146"	"TCGA.21.5786.01A.01R.1635.07"	"CE2"	0.201659649555071	0.225193178056232	TRUE	"CE2"
"159"	"TCGA.63.A5MT.01A.21R.A26W.07"	"CE2"	0.0437530917448488	0.063227011191978	TRUE	"CE2"
"173"	"TCGA.85.8351.01A.11R.2296.07"	"CE2"	0.000103786595332709	0.000960986993821379	TRUE	"CE2"
"179"	"TCGA.94.A5I6.01A.21R.A27Q.07"	"CE2"	0.200304043147824	0.225193178056232	TRUE	"CE2"
"201"	"TCGA.66.2768.01A.01R.0851.07"	"CE2"	0.000920959335375212	0.00324281456118032	TRUE	"CE2"
"210"	"TCGA.94.8491.01A.11R.2326.07"	"CE2"	0.173267770573686	0.200541401126952	TRUE	"CE2"
"216"	"TCGA.66.2759.01A.01R.0851.07"	"CE2"	0.17727491850873	0.20423377708379	TRUE	"CE2"
"218"	"TCGA.66.2786.01A.01R.0851.07"	"CE2"	0.0926493735387196	0.117575347130355	TRUE	"CE2"
"228"	"TCGA.51.4079.01A.01R.1100.07"	"CE2"	0.156410579218929	0.185320591491622	TRUE	"CE2"
"243"	"TCGA.33.4586.01A.01R.1443.07"	"CE2"	0.10573022781829	0.130209640170307	TRUE	"CE2"
"244"	"TCGA.56.7822.01A.11R.2125.07"	"CE2"	0.189369253061809	0.21617494641759	TRUE	"CE2"
"250"	"TCGA.85.7710.01A.11R.2125.07"	"CE2"	0.167501845512022	0.194776732065704	TRUE	"CE2"
"43"	"TCGA.66.2800.01A.01R.1201.07"	"CE3"	0.0507015807066923	0.0704348693443769	TRUE	"CE3"
"47"	"TCGA.69.8453.01A.12R.2326.07"	"CE3"	0.0513223424409066	0.0708872133161693	TRUE	"CE3"
"93"	"TCGA.91.8496.01A.11R.2403.07"	"CE3"	0.0689647400026589	0.0893325647702835	TRUE	"CE3"
"144"	"TCGA.66.2734.01A.01R.0980.07"	"CE3"	0.0671576114010187	0.0879026327238465	TRUE	"CE3"
"154"	"TCGA.38.4629.01A.02R.1206.07"	"CE3"	0.0171525083338072	0.0297786603017486	TRUE	"CE3"
"182"	"TCGA.05.4398.01A.01R.1206.07"	"CE3"	0.0224075193055296	0.0371340821477356	TRUE	"CE3"
"112"	"TCGA.05.4397.01A.01R.1206.07"	"CE4"	0.153449593554292	0.182678087564633	TRUE	"CE4"
"10"	"TCGA.66.2756.01A.01R.0851.07"	"CE5"	0.000534638067402286	0.00222765861417619	TRUE	"CE5"
"41"	"TCGA.56.7223.01A.11R.2045.07"	"CE5"	0.0202448469353934	0.0339678639855594	TRUE	"CE5"
"90"	"TCGA.86.8358.01A.11R.2326.07"	"CE5"	0.000311793320967331	0.00165847511152836	TRUE	"CE5"
"91"	"TCGA.60.2695.01A.01R.0851.07"	"CE5"	1.7121714591763e-05	0.000434018785356094	TRUE	"CE5"
"103"	"TCGA.37.4132.01A.01R.1100.07"	"CE5"	0.0566596085359986	0.0761553878172024	TRUE	"CE5"
"123"	"TCGA.55.8620.01A.11R.2403.07"	"CE5"	0.000129863466129625	0.00105862237318487	TRUE	"CE5"
"135"	"TCGA.37.5819.01A.01R.1635.07"	"CE5"	0.0716836585950268	0.0923758487049315	TRUE	"CE5"
"171"	"TCGA.22.5483.01A.01R.1820.07"	"CE5"	0.0494648322629418	0.0702625458280423	TRUE	"CE5"
"188"	"TCGA.33.4533.01A.01R.1201.07"	"CE5"	0.0133496045758493	0.0243605922916958	TRUE	"CE5"
"14"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"CE6"	0.0502926256502506	0.0704348693443769	TRUE	"CE6"
"22"	"TCGA.55.6983.11A.01R.1949.07"	"CE6"	0.00352386909332385	0.00905667150253192	TRUE	"CE6"
"42"	"TCGA.44.6776.11A.01R.1858.07"	"CE6"	1.19038235170055e-05	0.000415479762256147	TRUE	"CE6"
"44"	"TCGA.77.7335.11A.01R.2045.07"	"CE6"	5.67089633073041e-05	0.000746170569832949	TRUE	"CE6"
"57"	"TCGA.77.7138.11A.01R.2045.07"	"CE6"	2.40381260067391e-05	0.000500794291807064	TRUE	"CE6"
"59"	"TCGA.44.6778.11A.01R.1858.07"	"CE6"	8.75779239462744e-05	0.000912270041107025	TRUE	"CE6"
